rank,feature_name,importance_value,direction,method,endpoint,component,source_artifact_or_script,caveat
1,BMI_slope,1.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
2,fib4_latest,4.333,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 3 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
3,triglyc_std,5.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
4,ast_alt_ratio_latest,7.333,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 3 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
5,fibs_stiffness_med_BM_1_first,8.0,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
6,Dyslipidaemia,12.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
7,Age_v1,14.25,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
8,fibs_stiffness_med_BM_1_median,16.75,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
9,ggt_median,17.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
10,ast_alt_ratio_v1,18.667,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 3 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
