feature,importance,suspicious
fibs_stiffness_med_BM_1_std,146.0,False
BMI_slope,124.0,False
fibrotest_BM_2_std,123.0,False
followup_span,116.0,True
ast_alt_ratio_v3,101.0,False
bilirubin_min,95.0,False
fibs_stiffness_med_BM_1_min,95.0,False
ast_alt_ratio_v1,90.0,False
Dyslipidaemia,88.0,False
age_last_visit,88.0,True
BMI_last,86.0,False
ast_alt_ratio_latest,85.0,False
triglyc_std,85.0,False
alt_rel_delta,82.0,False
fibs_stiffness_med_BM_1_rel_delta,82.0,False
x_stiffness_age_latest,82.0,False
aixp_aix_result_BM_3_first,79.0,False
triglyc_slope,76.0,False
triglyc_delta,75.0,False
BMI_delta,74.0,False
Age_v1,73.0,False
BMI_std,71.0,False
ggt_rel_delta,68.0,False
ggt_slope,66.0,False
x_stiffness_astalt_latest,64.0,False
alt_median,64.0,False
aixp_aix_result_BM_3_last,62.0,False
BMI_rel_delta,59.0,False
bilirubin_slope,58.0,False
alt_first,58.0,False
bilirubin_delta,57.0,False
ggt_mean,57.0,False
fibs_stiffness_med_BM_1_median,56.0,False
ast_std,54.0,False
aixp_aix_result_BM_3_min,54.0,False
gap_mean,54.0,True
gluc_fast_min,53.0,False
ggt_median,52.0,False
fibs_stiffness_med_BM_1_mean,52.0,False
fibs_stiffness_med_BM_1_last,52.0,False
alt_delta,51.0,False
chol_median,51.0,False
alt_slope,50.0,False
fibs_stiffness_med_BM_1_slope,48.0,False
fibs_stiffness_med_BM_1_first,47.0,False
bilirubin_first,47.0,False
fib4_latest,46.0,False
ast_max,45.0,False
fibrotest_BM_2_last,44.0,False
gluc_fast_first,43.0,False
bilirubin_rel_delta,42.0,False
ggt_last,42.0,False
T2DM,42.0,False
triglyc_rel_delta,41.0,False
gluc_fast_max,41.0,False
triglyc_min,41.0,False
alt_min,41.0,False
Hypertension,41.0,False
x_stiffness_fib4_latest,40.0,False
ast_alt_ratio_v2,39.0,False
gap_max,38.0,True
plt_slope,38.0,False
ggt_delta,37.0,False
x_fibrotest_astalt_latest,37.0,False
fibrotest_BM_2_max,37.0,False
chol_min,36.0,False
alt_last,36.0,False
BMI_first,36.0,False
fibrotest_BM_2_delta,35.0,False
fibs_stiffness_med_BM_1_delta,35.0,False
ast_first,35.0,False
aixp_aix_result_BM_3_age_latest,35.0,False
x_bmi_fib4_latest,34.0,False
bilirubin_std,34.0,False
triglyc_last,33.0,False
gluc_fast_slope,32.0,False
triglyc_first,32.0,False
ast_last,32.0,False
ggt_min,32.0,False
x_fib4_apri_latest,32.0,False
plt_min,31.0,False
aixp_aix_result_BM_3_max,31.0,False
apri_v2,31.0,False
ast_min,31.0,False
aixp_aix_result_BM_3_delta,31.0,False
alt_mean,31.0,False
gluc_fast_std,30.0,False
fibrotest_BM_2_slope,29.0,False
fibrotest_BM_2_rel_delta,28.0,False
gluc_fast_last,28.0,False
chol_delta,28.0,False
triglyc_max,28.0,False
chol_std,27.0,False
ggt_first,27.0,False
miss_visit_1,27.0,True
alt_std,27.0,False
fib4_v2,26.0,False
fibs_stiffness_med_BM_1_age_latest,26.0,False
BMI_median,26.0,False
ggt_std,26.0,False
ast_slope,25.0,False
bilirubin_last,25.0,False
fibs_stiffness_med_BM_1_max,25.0,False
ast_age_latest,24.0,False
BMI_min,24.0,False
aixp_aix_result_BM_3_slope,24.0,False
ast_alt_ratio_delta,24.0,False
ast_delta,23.0,False
chol_mean,23.0,False
x_fibrotest_stiffness_latest,23.0,False
aixp_aix_result_BM_3_rel_delta,23.0,False
ast_alt_ratio_slope,23.0,False
apri_v1,23.0,False
plt_last,22.0,False
gluc_fast_mean,22.0,False
alt_max,22.0,False
chol_first,22.0,False
fibrotest_BM_2_mean,21.0,False
triglyc_median,21.0,False
plt_std,21.0,False
ggt_max,20.0,False
ast_rel_delta,20.0,False
gap_min,20.0,True
apri_latest,19.0,False
chol_rel_delta,19.0,False
gluc_fast_delta,18.0,False
miss_total,18.0,True
chol_slope,17.0,False
miss_BMI,17.0,False
x_aixp_fib4_latest,16.0,False
chol_last,16.0,False
aixp_aix_result_BM_3_median,16.0,False
miss_fibs_stiffness_med_BM_1,16.0,False
gluc_fast_median,16.0,False
plt_max,15.0,False
bilirubin_median,15.0,False
aixp_aix_result_BM_3_mean,15.0,False
plt_mean,14.0,False
miss_visit_3,14.0,True
miss_visit_2,14.0,True
x_fibrotest_fib4_latest,14.0,False
ast_median,14.0,False
fibrotest_BM_2_min,14.0,False
apri_delta,13.0,False
bilirubin_max,13.0,False
ast_mean,12.0,False
BMI_max,11.0,False
miss_alt,11.0,False
miss_visit_12,11.0,True
bilirubin_age_latest,11.0,False
BMI_age_latest,10.0,False
fibrotest_BM_2_first,10.0,False
aixp_aix_result_BM_3_latest,10.0,False
bilirubin_mean,10.0,False
x_stiffness_over_plt_latest,9.0,False
fib4_delta,9.0,False
plt_first,9.0,False
gluc_fast_age_latest,9.0,False
aixp_aix_result_BM_3_std,9.0,False
apri_v3,9.0,False
miss_visit_4,8.0,True
BMI_mean,8.0,False
apri_slope,8.0,False
triglyc_age_latest,7.0,False
miss_visit_6,7.0,True
age_first_visit,7.0,False
chol_max,7.0,False
BMI_latest,7.0,False
fib4_v3,6.0,False
alt_age_latest,6.0,False
plt_age_latest,6.0,False
plt_rel_delta,6.0,False
gluc_fast_rel_delta,5.0,False
miss_plt,5.0,False
plt_median,4.0,False
triglyc_mean,4.0,False
miss_aixp_aix_result_BM_3,4.0,False
fibrotest_BM_2_median,4.0,False
miss_gluc_fast,3.0,False
miss_chol,3.0,False
ggt_latest,3.0,False
bilirubin_latest,3.0,False
triglyc_latest,3.0,False
fib4_slope,3.0,False
ast_latest,3.0,False
miss_visit_7,3.0,True
chol_age_latest,2.0,False
plt_delta,2.0,False
bariatric_surgery_age,2.0,False
bariatric_surgery,2.0,False
plt_latest,2.0,False
chol_latest,2.0,False
n_visits,2.0,True
miss_visit_8,2.0,True
gender,1.0,False
fibrotest_BM_2_age_latest,1.0,False
fibs_stiffness_med_BM_1_latest,1.0,False
alt_latest,1.0,False
miss_visit_11,1.0,True
fibrotest_BM_2_latest,1.0,False
gluc_fast_latest,0.0,False
ggt_age_latest,0.0,False
fib4_v1,0.0,False
miss_Age,0.0,False
miss_ast,0.0,False
miss_bilirubin,0.0,False
miss_fibrotest_BM_2,0.0,False
miss_triglyc,0.0,False
miss_ggt,0.0,False
miss_visit_14,0.0,True
miss_visit_9,0.0,True
miss_visit_10,0.0,True
miss_visit_5,0.0,True
miss_visit_13,0.0,True
miss_visit_16,0.0,True
miss_visit_15,0.0,True
miss_visit_21,0.0,True
miss_visit_22,0.0,True
miss_visit_18,0.0,True
miss_visit_17,0.0,True
miss_visit_19,0.0,True
miss_visit_20,0.0,True
